Transaction_ID,Year,State,Customer_ID,Customer_Type,Age_Group,Category,Product_ID,Quantity,Base_Price,Discount_Percentage,Payment_Method,BlackFriday_Week_Phase,Gender,Loyalty_Score,Final_Price
45,2017,NM,84099,New,46-55,Sports,8540,2,222.0,46.0,Credit,Pre-BF,Male,51,119.88
46,2022,RI,26585,Regular,56+,Sports,5193,5,366.0,70.0,BNPL,Black Friday,Female,45,109.8
47,2015,MI,59240,Prime,46-55,Beauty,6441,4,1566.0,55.0,Debit,Pre-BF,Male,2,704.7
48,2023,ID,24772,Regular,36-45,Beauty,9904,2,1954.0,20.0,Debit,Weekend Sale,Female,39,1563.2
49,2022,CO,89991,New,26-35,Fashion,9865,1,730.0,12.0,BNPL,Weekend Sale,Male,3,642.4
50,2023,KS,81835,Prime,46-55,Electronics,5604,5,977.0,65.0,PayPal,Weekend Sale,Female,80,341.95
51,2018,MT,85724,New,26-35,Books,1942,2,935.0,44.0,Debit,Cyber Monday,Other,28,523.6
52,2015,CA,97091,New,18-25,Beauty,5471,5,1834.0,61.0,UPI,Black Friday,Female,28,715.26
53,2017,FL,27938,Prime,56+,Home,4743,1,971.0,54.0,UPI,Cyber Monday,Male,97,446.66
54,2020,VA,31983,Prime,46-55,Sports,7283,1,1834.0,31.0,Credit,Black Friday,Male,31,1265.46
55,2021,SC,22874,New,26-35,Sports,4836,5,1789.0,36.0,PayPal,Pre-BF,Other,44,1144.96
56,2016,IN,70896,Regular,18-25,Home,3428,2,1189.0,32.0,BNPL,Cyber Monday,Male,20,808.52
57,2014,UT,56209,Prime,56+,Sports,4624,3,1123.0,33.0,BNPL,Black Friday,Other,11,752.41
58,2017,TN,42822,Regular,56+,Sports,8391,5,818.0,53.0,BNPL,Pre-BF,Male,100,384.46
59,2015,NJ,30750,Regular,18-25,Sports,8927,3,1930.0,40.0,UPI,Weekend Sale,Female,11,1158.0
60,2021,MT,52083,Prime,46-55,Electronics,2909,2,1096.0,28.0,BNPL,Pre-BF,Female,39,789.12
61,2017,VT,37946,Regular,46-55,Electronics,3674,4,1452.0,43.0,Credit,Cyber Monday,Male,6,827.64
62,2015,NH,11552,Prime,26-35,Books,4324,5,1465.0,54.0,UPI,Pre-BF,Other,64,673.9
63,2019,ME,83331,Prime,36-45,Home,6833,1,500.0,12.0,Debit,Weekend Sale,Male,63,440.0
64,2019,WA,15271,Prime,26-35,Electronics,3602,4,1072.0,23.0,PayPal,Weekend Sale,Female,60,825.44
65,2023,DE,90201,Prime,26-35,Fashion,6797,2,157.0,42.0,Debit,Black Friday,Male,63,91.06
66,2017,MN,75651,Regular,26-35,Electronics,1154,1,1878.0,48.0,Debit,Pre-BF,Female,31,976.56
67,2019,TN,38994,Regular,18-25,Sports,3674,5,488.0,30.0,PayPal,Cyber Monday,Female,38,341.6
68,2015,OH,37186,Prime,56+,Home,5503,2,175.0,74.0,PayPal,Black Friday,Female,99,45.5
69,2023,NM,40267,Prime,56+,Books,2527,5,32.0,53.0,BNPL,Pre-BF,Male,18,15.04
70,2015,OH,49140,Prime,36-45,Toys,1625,4,917.0,30.0,BNPL,Cyber Monday,Male,9,641.9
71,2023,NY,34935,Prime,46-55,Books,1685,5,1295.0,36.0,Credit,Pre-BF,Female,42,828.8
72,2017,CA,41748,New,26-35,Electronics,6209,1,737.0,38.0,PayPal,Weekend Sale,Female,28,456.94
73,2021,KS,13837,Regular,18-25,Beauty,1869,5,1131.0,49.0,PayPal,Weekend Sale,Male,67,576.81
74,2020,KY,74875,Regular,18-25,Fashion,4077,4,1514.0,41.0,Debit,Cyber Monday,Male,23,893.26
75,2022,NY,72694,Prime,26-35,Books,1904,4,528.0,10.0,BNPL,Pre-BF,Other,10,475.2
76,2021,PA,19610,New,18-25,Fashion,3022,1,1852.0,35.0,Credit,Black Friday,Male,5,1203.8
77,2018,NY,38615,New,18-25,Fashion,2242,3,279.0,69.0,BNPL,Black Friday,Other,2,86.49
78,2015,MD,86644,New,26-35,Beauty,3711,3,1773.0,13.0,PayPal,Pre-BF,Other,25,1542.51
79,2018,WV,32347,Prime,36-45,Beauty,2294,5,25.0,25.0,Credit,Weekend Sale,Male,60,18.75
80,2021,AK,44062,New,18-25,Fashion,6937,4,1783.0,71.0,BNPL,Pre-BF,Female,87,517.07
81,2023,MD,65122,Prime,56+,Fashion,2556,2,1696.0,46.0,Debit,Cyber Monday,Male,67,915.84
82,2022,WA,58431,New,56+,Fashion,3302,2,1307.0,50.0,BNPL,Weekend Sale,Other,53,653.5
83,2022,LA,83086,Prime,56+,Electronics,1736,4,230.0,9.0,BNPL,Cyber Monday,Other,17,209.3
84,2014,AL,38205,Prime,26-35,Sports,1778,2,1936.0,41.0,Credit,Cyber Monday,Other,41,1142.24
85,2022,NH,28459,Regular,56+,Beauty,6525,1,1613.0,33.0,Credit,Weekend Sale,Female,33,1080.71
86,2020,NH,33750,Prime,46-55,Home,6833,5,1314.0,53.0,UPI,Pre-BF,Male,92,617.58
87,2022,ME,37729,New,18-25,Books,8525,4,554.0,29.0,PayPal,Pre-BF,Male,5,393.34
88,2021,UT,48585,Regular,36-45,Sports,5784,5,572.0,14.0,Debit,Black Friday,Female,87,491.92
89,2014,SC,93698,New,56+,Electronics,9035,1,1824.0,19.0,BNPL,Weekend Sale,Female,73,1477.44
90,2021,CO,55635,Prime,26-35,Home,5736,2,827.0,34.0,Credit,Weekend Sale,Female,70,545.82
91,2021,UT,54854,Regular,36-45,Electronics,9000,4,1694.0,63.0,BNPL,Pre-BF,Female,6,626.78
92,2024,RI,86226,Prime,26-35,Electronics,7590,1,1008.0,59.0,BNPL,Black Friday,Male,73,413.28
93,2016,WY,39104,Prime,36-45,Home,7794,1,584.0,59.0,BNPL,Cyber Monday,Female,81,239.44
94,2014,VA,92293,New,36-45,Fashion,5732,5,1950.0,73.0,BNPL,Black Friday,Male,13,526.5
95,2021,DE,24770,New,18-25,Sports,1521,4,131.0,18.0,Debit,Pre-BF,Female,3,107.42
96,2016,MS,85993,New,36-45,Home,6697,5,1401.0,78.0,Debit,Weekend Sale,Female,73,308.22
97,2016,MD,27957,Regular,46-55,Toys,3847,5,548.0,60.0,Debit,Weekend Sale,Female,14,219.2
98,2014,IN,65178,New,46-55,Beauty,5111,1,1242.0,65.0,Debit,Black Friday,Male,67,434.7
99,2024,CA,30828,Prime,46-55,Toys,7394,5,1022.0,9.0,UPI,Cyber Monday,Other,36,930.02
100,2018,SD,27171,Regular,26-35,Sports,9422,2,163.0,10.0,Credit,Black Friday,Female,84,146.7
101,2023,SC,71465,New,18-25,Electronics,8420,2,1308.0,17.0,PayPal,Weekend Sale,Male,46,1085.64
102,2020,ND,23146,New,26-35,Home,9119,1,1258.0,44.0,PayPal,Black Friday,Male,82,704.48
103,2023,KS,56266,New,56+,Fashion,7749,5,67.0,63.0,Credit,Cyber Monday,Other,1,24.79
104,2022,VT,55939,Prime,46-55,Sports,1518,2,772.0,17.0,PayPal,Pre-BF,Other,20,640.76
105,2020,CT,24202,New,18-25,Fashion,9675,3,249.0,50.0,UPI,Weekend Sale,Female,93,124.5
106,2022,KS,47142,Prime,46-55,Books,4851,3,1533.0,27.0,Credit,Cyber Monday,Other,88,1119.09
107,2021,CT,73828,Regular,18-25,Books,7855,5,1296.0,25.0,PayPal,Black Friday,Other,96,972.0
108,2015,NE,97367,New,26-35,Toys,6004,1,1000.0,76.0,BNPL,Black Friday,Female,19,240.0
109,2014,IN,69046,Prime,26-35,Books,6544,2,1264.0,38.0,UPI,Weekend Sale,Male,69,783.68
110,2020,IN,19849,New,46-55,Toys,9957,4,408.0,57.0,PayPal,Black Friday,Male,89,175.44
111,2020,UT,69272,New,36-45,Electronics,4360,4,1099.0,35.0,UPI,Black Friday,Other,88,714.35
112,2021,NC,30439,Regular,18-25,Beauty,7052,2,459.0,70.0,Credit,Cyber Monday,Other,40,137.7
113,2018,NC,92526,Regular,56+,Electronics,7758,5,1242.0,79.0,Credit,Cyber Monday,Other,60,260.82
114,2016,UT,88872,Prime,36-45,Sports,1987,3,491.0,72.0,Credit,Pre-BF,Female,28,137.48
115,2021,MD,45344,Prime,26-35,Fashion,9207,3,440.0,30.0,PayPal,Cyber Monday,Male,26,308.0
116,2019,WA,98489,Prime,18-25,Sports,8495,2,55.0,18.0,Debit,Black Friday,Male,27,45.1
117,2024,OK,63276,Regular,36-45,Books,8092,3,1890.0,29.0,UPI,Cyber Monday,Male,80,1341.9
118,2016,CT,15051,Prime,56+,Home,5427,2,1748.0,78.0,PayPal,Black Friday,Female,11,384.56
119,2014,NY,59474,Regular,36-45,Toys,1078,1,1589.0,68.0,UPI,Cyber Monday,Other,91,508.48
120,2016,WV,85604,Regular,56+,Fashion,2818,3,658.0,73.0,BNPL,Pre-BF,Male,28,177.66
121,2018,AZ,26967,New,26-35,Books,1431,5,1104.0,72.0,Credit,Weekend Sale,Other,70,309.12
122,2016,RI,31773,New,18-25,Electronics,9804,3,1812.0,24.0,Credit,Pre-BF,Female,45,1377.12
123,2014,NH,84383,Prime,26-35,Beauty,5350,2,1660.0,47.0,Debit,Pre-BF,Other,43,879.8
124,2018,MS,80417,Regular,18-25,Home,9463,4,577.0,9.0,Credit,Black Friday,Female,15,525.07
125,2023,MI,51182,Regular,36-45,Beauty,5431,3,141.0,36.0,BNPL,Weekend Sale,Other,1,90.24
126,2020,CO,73589,Regular,26-35,Electronics,9949,2,390.0,49.0,UPI,Pre-BF,Female,100,198.9
127,2020,WV,83235,New,18-25,Electronics,5303,3,302.0,47.0,PayPal,Cyber Monday,Other,81,160.06
128,2024,MS,34180,Regular,56+,Fashion,9305,3,867.0,75.0,Credit,Black Friday,Male,8,216.75
129,2022,SC,74372,Prime,18-25,Books,6151,3,894.0,26.0,PayPal,Black Friday,Male,24,661.56
130,2023,MN,61372,Prime,26-35,Home,6016,4,1323.0,45.0,Debit,Black Friday,Female,39,727.65
131,2023,PA,79086,New,26-35,Sports,2962,2,1369.0,62.0,Credit,Weekend Sale,Other,61,520.22
132,2016,GA,32163,Prime,36-45,Electronics,4065,1,1650.0,63.0,Debit,Cyber Monday,Female,50,610.5
133,2020,KS,73089,Regular,56+,Fashion,4948,5,1080.0,32.0,UPI,Black Friday,Male,87,734.4
134,2014,HI,42934,Regular,18-25,Electronics,8671,4,39.0,59.0,UPI,Cyber Monday,Other,35,15.99
135,2017,NY,65595,Prime,26-35,Fashion,8106,5,1663.0,55.0,BNPL,Cyber Monday,Female,48,748.35
136,2017,VT,36592,New,18-25,Beauty,1928,5,1079.0,40.0,Credit,Cyber Monday,Male,44,647.4
137,2018,CO,33039,Regular,46-55,Fashion,6422,1,857.0,72.0,PayPal,Black Friday,Male,90,239.96
138,2020,MS,74099,Regular,56+,Sports,3915,3,1615.0,47.0,Credit,Black Friday,Male,75,855.95
139,2020,NC,99262,New,56+,Beauty,6387,1,1578.0,10.0,UPI,Cyber Monday,Female,92,1420.2
140,2024,ID,44018,Regular,46-55,Toys,1197,5,1083.0,55.0,Debit,Weekend Sale,Other,70,487.35
141,2017,NE,63158,Prime,56+,Electronics,5397,4,1816.0,57.0,BNPL,Pre-BF,Female,89,780.88
142,2020,PA,14558,Prime,46-55,Toys,5500,5,797.0,15.0,PayPal,Cyber Monday,Other,10,677.45
143,2024,LA,42174,New,18-25,Home,7865,5,1493.0,54.0,Debit,Black Friday,Female,97,686.78
144,2016,VT,52631,New,46-55,Toys,1845,1,904.0,21.0,PayPal,Weekend Sale,Female,43,714.16
145,2019,RI,77687,Prime,36-45,Books,7290,2,97.0,50.0,BNPL,Cyber Monday,Female,89,48.5
146,2015,IL,25552,New,46-55,Fashion,2747,5,1073.0,50.0,BNPL,Cyber Monday,Other,1,536.5
147,2023,SC,45065,Prime,18-25,Fashion,6507,2,553.0,45.0,PayPal,Pre-BF,Female,14,304.15
148,2022,NJ,12614,New,56+,Home,5965,3,498.0,55.0,UPI,Weekend Sale,Other,11,224.1
149,2018,WI,44647,Prime,36-45,Home,1345,5,106.0,15.0,Debit,Pre-BF,Other,26,90.1
150,2019,SD,67940,Regular,46-55,Electronics,1155,1,633.0,55.0,Debit,Pre-BF,Male,39,284.85
151,2017,IL,10620,Regular,18-25,Books,6561,3,759.0,31.0,Credit,Weekend Sale,Other,68,523.71
152,2024,ND,33082,Prime,36-45,Fashion,8369,4,533.0,53.0,Debit,Weekend Sale,Male,78,250.51
153,2023,OK,31891,Regular,36-45,Books,6032,5,280.0,20.0,UPI,Cyber Monday,Male,92,224.0
154,2020,NJ,72395,Prime,36-45,Books,9333,1,1220.0,54.0,UPI,Cyber Monday,Male,61,561.2
155,2022,MO,60955,New,46-55,Home,1103,5,709.0,19.0,PayPal,Weekend Sale,Female,59,574.29
156,2020,AK,42314,Regular,18-25,Books,2238,1,593.0,58.0,Credit,Cyber Monday,Other,59,249.06
157,2014,OK,33500,Regular,18-25,Sports,8476,1,1805.0,18.0,Debit,Black Friday,Male,72,1480.1
158,2014,LA,63685,Regular,18-25,Books,5203,2,36.0,30.0,Debit,Pre-BF,Other,87,25.2
159,2022,CA,74783,Prime,26-35,Toys,4531,5,1134.0,44.0,BNPL,Cyber Monday,Female,28,635.04
160,2024,ME,60189,Regular,56+,Books,4875,1,1475.0,22.0,PayPal,Cyber Monday,Male,86,1150.5
161,2022,TN,29567,New,18-25,Fashion,9115,1,702.0,30.0,Credit,Cyber Monday,Male,18,491.4
162,2017,LA,35978,Regular,26-35,Books,2252,3,983.0,22.0,UPI,Weekend Sale,Male,74,766.74
163,2022,NY,86089,New,26-35,Sports,8079,5,1028.0,5.0,Debit,Weekend Sale,Male,100,976.6
164,2016,MA,19630,Regular,36-45,Books,8109,3,560.0,20.0,Debit,Cyber Monday,Male,7,448.0
165,2020,GA,22003,Regular,56+,Home,9399,2,1432.0,25.0,BNPL,Black Friday,Female,16,1074.0
166,2019,OR,51444,New,36-45,Books,6640,2,284.0,76.0,BNPL,Pre-BF,Male,58,68.16
167,2021,WI,96184,Regular,56+,Electronics,2762,1,638.0,70.0,Debit,Pre-BF,Male,3,191.4
168,2024,MI,41607,New,36-45,Books,9909,1,23.0,7.0,Debit,Cyber Monday,Male,56,21.39
169,2022,IL,34821,New,46-55,Sports,2428,1,1360.0,12.0,BNPL,Cyber Monday,Male,4,1196.8
170,2018,KY,24601,New,56+,Beauty,5276,5,1935.0,22.0,UPI,Weekend Sale,Female,57,1509.3
171,2014,FL,55904,Regular,26-35,Books,9005,5,1963.0,29.0,Debit,Pre-BF,Other,49,1393.73
172,2016,MS,81657,Regular,26-35,Fashion,1640,4,737.0,76.0,PayPal,Black Friday,Female,79,176.88
173,2023,UT,48557,New,56+,Books,2822,1,1670.0,22.0,Debit,Cyber Monday,Female,99,1302.6
174,2021,IN,62523,Regular,36-45,Fashion,6804,3,802.0,28.0,PayPal,Weekend Sale,Female,6,577.44
175,2024,VA,91846,Prime,46-55,Books,4048,4,1458.0,73.0,BNPL,Black Friday,Male,54,393.66
176,2019,DE,60502,New,46-55,Fashion,4227,5,1634.0,30.0,UPI,Weekend Sale,Other,64,1143.8
177,2021,OR,32098,New,18-25,Fashion,2919,5,1851.0,78.0,Credit,Pre-BF,Male,55,407.22
178,2022,ME,55902,Prime,56+,Beauty,9662,1,120.0,15.0,Credit,Weekend Sale,Male,2,102.0
179,2017,NV,99067,Prime,46-55,Beauty,6799,3,1624.0,8.0,Credit,Weekend Sale,Female,17,1494.08
180,2014,VA,49253,New,36-45,Sports,5099,3,1715.0,14.0,BNPL,Black Friday,Male,13,1474.9
181,2014,SD,85516,Prime,36-45,Sports,7137,2,332.0,16.0,BNPL,Cyber Monday,Female,88,278.88
182,2023,NJ,54280,New,26-35,Electronics,7341,1,877.0,78.0,Debit,Black Friday,Other,14,192.94
183,2017,CT,18951,Regular,46-55,Fashion,8563,5,1483.0,16.0,UPI,Pre-BF,Other,57,1245.72
184,2020,MT,18117,Prime,46-55,Home,1578,1,1567.0,9.0,UPI,Cyber Monday,Other,8,1425.97
185,2015,SC,35979,New,36-45,Books,6004,1,1701.0,9.0,Debit,Black Friday,Other,74,1547.91
186,2016,VA,84525,New,26-35,Toys,3600,2,1897.0,27.0,UPI,Weekend Sale,Other,92,1384.81
187,2014,VA,26915,New,46-55,Fashion,9934,2,880.0,60.0,UPI,Black Friday,Female,33,352.0
188,2018,HI,69261,Prime,36-45,Sports,6782,4,226.0,50.0,Debit,Black Friday,Other,27,113.0
189,2014,IN,82964,Regular,26-35,Beauty,5270,1,522.0,6.0,BNPL,Weekend Sale,Male,2,490.68
190,2021,MA,80440,Regular,26-35,Electronics,3030,5,1973.0,78.0,Credit,Pre-BF,Other,57,434.06
191,2014,DE,45677,Prime,36-45,Fashion,6859,2,416.0,5.0,Debit,Pre-BF,Female,100,395.2
192,2024,AZ,59830,New,26-35,Books,4107,4,1806.0,17.0,Debit,Black Friday,Other,48,1498.98
193,2014,NV,62536,New,26-35,Electronics,8181,4,1657.0,64.0,Credit,Cyber Monday,Other,23,596.52
194,2015,NH,18922,New,18-25,Home,3228,4,620.0,40.0,Credit,Weekend Sale,Male,32,372.0
195,2015,MN,77561,Prime,26-35,Home,4264,5,1108.0,66.0,PayPal,Pre-BF,Female,75,376.72
196,2019,LA,23220,Prime,46-55,Home,2734,2,1688.0,67.0,PayPal,Cyber Monday,Other,24,557.04
197,2020,OH,55958,New,26-35,Home,5943,3,462.0,71.0,PayPal,Cyber Monday,Female,79,133.98
198,2018,IL,63380,New,46-55,Toys,6023,5,751.0,20.0,BNPL,Cyber Monday,Male,25,600.8
199,2014,ID,12766,New,36-45,Electronics,5109,1,909.0,44.0,Debit,Black Friday,Female,62,509.04
200,2014,WA,94018,Prime,26-35,Fashion,3126,3,949.0,52.0,PayPal,Cyber Monday,Male,86,455.52
201,2016,WY,43159,Prime,36-45,Toys,4955,5,595.0,50.0,BNPL,Pre-BF,Other,87,297.5
202,2015,CA,20935,Regular,56+,Fashion,9192,2,978.0,9.0,Credit,Pre-BF,Other,65,889.98
203,2018,RI,13784,New,26-35,Beauty,6083,4,1066.0,29.0,PayPal,Black Friday,Male,22,756.86
204,2023,HI,98586,New,36-45,Books,7930,5,1221.0,42.0,Debit,Cyber Monday,Female,26,708.18
205,2019,HI,30221,Regular,56+,Sports,9838,1,1651.0,58.0,UPI,Cyber Monday,Female,84,693.42
206,2020,WA,39179,New,46-55,Toys,7609,1,1999.0,77.0,BNPL,Weekend Sale,Other,74,459.77
207,2017,TN,28069,Regular,46-55,Sports,8678,1,1591.0,49.0,BNPL,Cyber Monday,Other,13,811.41
208,2020,WA,45682,Prime,46-55,Toys,1707,3,1027.0,43.0,Credit,Weekend Sale,Female,85,585.39
209,2024,NM,66268,Regular,46-55,Sports,9794,4,804.0,32.0,Credit,Pre-BF,Other,89,546.72
210,2021,NM,87818,Regular,46-55,Books,3831,5,1908.0,57.0,Credit,Black Friday,Female,80,820.44
211,2024,IL,30110,Prime,18-25,Sports,4661,3,37.0,58.0,PayPal,Weekend Sale,Other,15,15.54
212,2014,IN,41232,New,36-45,Beauty,5109,5,439.0,24.0,Credit,Pre-BF,Male,69,333.64
213,2019,WI,54273,Regular,56+,Sports,3090,2,116.0,59.0,UPI,Weekend Sale,Female,24,47.56
214,2021,VT,80487,Regular,56+,Toys,2098,2,1067.0,69.0,BNPL,Cyber Monday,Male,91,330.77
215,2018,TN,65210,New,26-35,Sports,2950,5,1446.0,26.0,BNPL,Cyber Monday,Female,45,1070.04
216,2017,MO,83191,Regular,36-45,Electronics,4378,3,617.0,55.0,Credit,Black Friday,Male,34,277.65
217,2015,NC,39461,Prime,18-25,Books,4824,1,136.0,76.0,Debit,Pre-BF,Male,40,32.64
218,2019,NC,14610,Regular,18-25,Sports,3882,3,1984.0,16.0,BNPL,Pre-BF,Other,1,1666.56
219,2019,IA,66973,New,36-45,Home,7223,3,1602.0,63.0,PayPal,Pre-BF,Female,98,592.74
220,2024,KS,93004,New,46-55,Books,3010,5,645.0,58.0,Debit,Weekend Sale,Other,41,270.9
221,2014,UT,17583,Regular,46-55,Books,1493,3,1183.0,57.0,Debit,Weekend Sale,Female,26,508.69
222,2022,PA,35583,New,36-45,Sports,9113,2,772.0,42.0,UPI,Cyber Monday,Male,76,447.76
223,2024,CO,27701,New,56+,Fashion,2851,5,920.0,16.0,Credit,Weekend Sale,Female,73,772.8
224,2019,UT,16880,Regular,46-55,Beauty,6378,5,548.0,77.0,PayPal,Weekend Sale,Other,33,126.04
225,2016,MO,99257,Regular,26-35,Home,7647,5,723.0,11.0,Debit,Black Friday,Other,40,643.47
226,2017,IA,61845,New,18-25,Toys,8495,3,132.0,72.0,Debit,Pre-BF,Female,91,36.96
227,2024,AR,82417,Regular,46-55,Electronics,5943,4,98.0,33.0,Credit,Cyber Monday,Male,7,65.66
228,2017,AR,13722,Prime,56+,Sports,5636,1,581.0,49.0,PayPal,Pre-BF,Other,87,296.31
229,2016,NJ,30077,Regular,46-55,Sports,8388,1,1364.0,14.0,Credit,Black Friday,Female,58,1173.04
230,2023,ND,90868,New,46-55,Toys,7750,2,81.0,8.0,PayPal,Black Friday,Male,92,74.52
231,2016,NE,23229,Prime,18-25,Beauty,5841,5,1950.0,28.0,Credit,Pre-BF,Other,42,1404.0
232,2016,NM,83338,New,26-35,Toys,6791,1,465.0,30.0,Credit,Cyber Monday,Other,97,325.5
233,2017,NY,71679,New,26-35,Electronics,9432,3,302.0,60.0,Credit,Weekend Sale,Male,79,120.8
234,2020,UT,97637,Prime,56+,Books,3400,3,1953.0,76.0,UPI,Cyber Monday,Female,99,468.72
235,2017,RI,21439,Regular,36-45,Sports,8517,3,631.0,27.0,Credit,Cyber Monday,Male,63,460.63
236,2022,FL,45902,New,36-45,Books,9285,2,1159.0,13.0,Debit,Weekend Sale,Male,50,1008.33
237,2014,SD,12598,Regular,36-45,Toys,4398,5,569.0,29.0,UPI,Pre-BF,Male,56,403.99
238,2021,DE,14052,Regular,56+,Books,5010,1,1952.0,36.0,Credit,Pre-BF,Female,25,1249.28
239,2020,IN,22741,Prime,46-55,Toys,5148,5,1285.0,11.0,PayPal,Black Friday,Female,85,1143.65
240,2015,NC,79360,New,26-35,Sports,4968,5,1022.0,63.0,BNPL,Black Friday,Female,69,378.14
241,2021,MN,46288,Prime,26-35,Toys,3677,3,481.0,63.0,UPI,Pre-BF,Male,53,177.97
242,2014,MA,11249,Prime,46-55,Sports,3405,1,278.0,66.0,PayPal,Cyber Monday,Other,97,94.52
243,2024,ID,32970,New,26-35,Toys,8646,2,1919.0,21.0,UPI,Black Friday,Other,88,1516.01
